SKU,Short description,Tags
STO-ITEM-2020-00401,<ul>\n<li>প্যারাসুট কোকনাট অয়েল ২০০ মিলি</li>\n</ul>\n,"নারিকেল,পেরাসুট,তেল,ওয়েল,tel,narikel tel,parashute"
STO-ITEM-2020-00402,<ul>\n<li>প্যারাসুট কোকনাট অয়েল ৩৫০ মিলি</li>\n</ul>\n,"নারিকেল,পেরাসুট,তেল,ওয়েল,tel,narikel tel,parashute"
STO-ITEM-2020-00403,<ul>\n<li>প্যারাসুট অ্যাডভান্স বেলীফুল কোকনাট হেয়ার অয়েল ২০০ মিলি</li>\n</ul>\n,"নারিকেল,এডভান্সড,পেরাসুট,তেল,ওয়েল,tel,narikel tel,parashute"
STO-ITEM-2020-00404,<ul>\n<li>প্যারাসুট অ্যাডভান্স এলো ভেরা ইনরিচড কোকনাট হেয়ার অয়েল ১৫০ মিলি</li>\n</ul>\n,"নারিকেল,তেল,প্যারাসুট,,tel,oil,narikel tel,parachute"
STO-ITEM-2020-00405,<ul>\n<li>সাফোলা মধু ২৫০ গ্রাম</li>\n</ul>\n,"মধু,হানী,hani,modhu,safola"
STO-ITEM-2020-00406,<ul>\n<li>চপস্টিক নুডলস দেশি মশলা ৮ প্যাক ৪৯৬ গ্রাম</li>\n</ul>\n,"নাশতা,নাসতা,chopstik,nodles,nashta"
STO-ITEM-2020-00407,<ul>\n<li>ড্যানিশ ফ্লোরিডা অরেঞ্জ বিস্কিট ৭০ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,Danis,Biskit,nashta"
STO-ITEM-2020-00408,<ul>\n<li>ড্যানিশ ফ্লোরিডা অরেঞ্জ বিস্কিট ২১০ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,Danis,Biskit,nashta"
STO-ITEM-2020-00409,<ul>\n<li>ড্যানিশ টপ নাট বিস্কুট ৭০ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,Danis,Biskit,nashta"
STO-ITEM-2020-00410,<ul>\n<li>ড্যানিশ মিল্ক মেরী বিস্কিট ২৮৫ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,Danis,Biskit,nashta"
STO-ITEM-2020-00411,<ul>\n<li>ড্যানিশ লেক্সাস ভেজিটেবল ক্রেকার বিস্কুট ২৪০ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,ডায়বেটিস,Danis,Biskit,nashta,diabetes"
STO-ITEM-2020-00412,<ul>\n<li>ড্যানিশ ডরিও বিস্কিট ১৪০ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,Danis,Biskit,nashta"
STO-ITEM-2020-00413,<ul>\n<li>ড্যানিশ ড্রাই কেক বিস্কিট ৩৫০ গ্রাম</li>\n</ul>\n,"ডেনিশ,ডেনিস,বিস্কুট,নাশতা,নাসতা,Danis,Biskit,nashta"
STO-ITEM-2020-00415,<ul>\n<li>গ্লো এন্ড লাভলী অ্যাডভান্সড মাল্টি ভিটামিন ১০০ গ্রাম</li>\n</ul>\n,"ফেয়ার & লাভলী,ক্রিম,ফেয়ার, লাভলী,স্কিন,কেয়ার,cream,skin,care,fair,lovely,fair and lavely"
STO-ITEM-2020-00416,<ul>\n<li>গ্লো এন্ড লাভলী উইনটার গ্লো ৫০ গ্রাম</li>\n</ul>\n,"ফেয়ার & লাভলী,ক্রিম,ফেয়ার, লাভলী,স্কিন,কেয়ার,cream,skin,care,fair,lovely,fair and lavely"
STO-ITEM-2020-00417,<ul>\n<li>লাক্স ফর এভার চার্মিং মেগনোলিয়া পারফিইমড বার ১২৫ গ্রাম</li>\n</ul>\n,"বার,লাকস,সোপ,সাবান,lax,soap,saban"
STO-ITEM-2020-00418,<ul>\n<li>লাক্স ফর এভার হিপনোটিক রোজ পারফিইমড বার ১২৫ গ্রাম</li>\n</ul>\n,"বার,লাকস,সোপ,সাবান,lax,soap,saban"
STO-ITEM-2020-00419,<ul>\n<li>পেপসোডেন্ট সেনসিটিভ এক্সপার্ট প্রফেশনাল ১৪০ গ্রাম</li>\n</ul>\n,"পেপসুডেন্ট,টুথপেস্ট,টুথ,পেস্ট,পেষ্ট,pepsudent,toothpaste,paste"
STO-ITEM-2020-00420,<ul>\n<li>ভিম ডিশওয়াশিং লিকুইড ৫০০ মিলি দুটি কিনলে ১ টি গামলা ফ্রি</li>\n</ul>\n,"ভীম,ডিসওয়াসিং,vem,liquid,dishwashing,"
STO-ITEM-2020-00421,<ul>\n<li>হারম্যান অ্যাপল সিডার ভিনেগার ৪৭৩ মিলি</li>\n</ul>\n,"আপেল,সাইডার,aple,cider,vineger,vinegar"
STO-ITEM-2020-00422,<ul>\n<li>ক্যাঙ্গারো স্টাপলার এইচ ডি-৪৫এন</li>\n</ul>\n,"কেঙ্গারু,মেশিন,অফিস,stapler,matchine,office"
STO-ITEM-2020-00423,<ul>\n<li>ক্যাঙ্গারো স্টাপলার এইচ ডি-৪৫</li>\n</ul>\n,"কেঙ্গারু,মেশিন,অফিস,stapler,matchine,office"
STO-ITEM-2020-00424,<ul>\n<li>ডেলী পিন রিমুভার</li>\n</ul>\n,"অফিস,remover,office"
STO-ITEM-2020-00425,"<ul>\n<li>ক্যাঙ্গারো পাঞ্চ মেশিন,</li>\n</ul>\n","মেশিন,অফিস,panch,office"
STO-ITEM-2020-00426,<ul>\n<li>এস ডি আই কাটার নাইফ</li>\n</ul>\n,"ছুরি,অফিস,cutter,knife,office,churi"
STO-ITEM-2020-00427,<ul>\n<li>আর্টলাইন স্ট্যাম্প প্যাড</li>\n</ul>\n,"অফিস,প্যাড,pad,office"
STO-ITEM-2020-00428,<ul>\n<li>রেড লিফ পারমানেন্ট মার্কার</li>\n</ul>\n,"মার্কারি,কলম,অফিস,pen,office"
STO-ITEM-2020-00429,<ul>\n<li>ক্যাঙ্গারো স্টাপলার পিন নং ১০ (২৪/৬)</li>\n</ul>\n,"কেঙ্গারু,মেশিন,অফিস,stapler,matchine,office"
STO-ITEM-2020-00430,<ul>\n<li>রেড লিফ ৩০৩ হাইলাইটার পেন ইয়োলো</li>\n</ul>\n,"হলুদ,কলম,Highlighter,pen,office"
STO-ITEM-2020-00431,<ul>\n<li>কফি মেকার/হুইস্ক</li>\n</ul>\n,"মেশিন,কফী,coffe,maker,nescafe"
STO-ITEM-2020-00432,<ul>\n<li>কাপকেক ট্রে ৬ হোল</li>\n</ul>\n,"ট্রে,কাপ,cake,tray"
STO-ITEM-2020-00433,<ul>\n<li>কিচেন উড হেন্ডেল নাইফ</li>\n</ul>\n,"ছুরি,কীচেন,kitchen,churi,nife,"
STO-ITEM-2020-00434,<ul>\n<li>কিচেন স্টিল নাইফ</li>\n</ul>\n,"ছুরি,নাইফ,কিচেন,kitchen,churi,knife,nife,"
STO-ITEM-2020-00435,<ul>\n<li>ব্ল্যাক হেন্ডেল কিচেন স্টিল নাইফ</li>\n</ul>\n,"ছুরি,নাইফ,কিচেন,kitchen,churi,knife,nife,"
STO-ITEM-2020-00436,<ul>\n<li>কিচেন স্টিল নাইফ সিনদাবাদ লং</li>\n</ul>\n,"ছুরি,নাইফ,কিচেন,kitchen,churi,knife,nife,"
STO-ITEM-2020-00437,<ul>\n<li>কিচেন হ্যান্ড গ্লাভস</li>\n</ul>\n,"গ্লোভস,হাত মোজা,কীচেন,kichen,glov"
STO-ITEM-2020-00438,<ul>\n<li>কিচেন ক্লিন স্ক্রাবার ৪ পিস</li>\n</ul>\n,"স্পঞ্জ,কীচেন,kichen,gloves,scruber"
STO-ITEM-2020-00439,<ul>\n<li>কাটিং এন্ড চপিং বোর্ড (নেশনাল)</li>\n</ul>\n,"কিচেন,কীচেন,kichen,bord,kating"
STO-ITEM-2020-00440,<ul>\n<li>কাপ কেক ফর্মা (ছোট)</li>\n</ul>\n,"kup,kap,kake"
STO-ITEM-2020-00441,<ul>\n<li>কাপ কেক ফর্মা (মিডিয়াম)</li>\n</ul>\n,"kup,kap,kake"
STO-ITEM-2020-00442,<ul>\n<li>কাপ কেক ফর্মা (বড়)</li>\n</ul>\n,"kup,kap,kake"
STO-ITEM-2020-00443,<ul>\n<li>কাপ কেক পেপার (ছোট) ১০০ পিস</li>\n</ul>\n,"kup,kap,kake"
STO-ITEM-2020-00444,<ul>\n<li>কাপ কেক পেপার (মিডিয়াম) ১০০ পিস</li>\n</ul>\n,"kup,kap,kake"
STO-ITEM-2020-00445,<ul>\n<li>কাপ কেক পেপার (বড়) ১০০ পিস</li>\n</ul>\n,"kup,kap,kake"
STO-ITEM-2020-00447,<ul>\n<li>কোডোমো বেবি সোপ ওরজিনাল উইথ ময়েশ্চারাইজার ৭৫ গ্রাম</li>\n</ul>\n,"সাবান,বার,বেবি,codomo,babi,sop,saban,shaban"
STO-ITEM-2020-00448,<ul>\n<li>কোডোমো হেয়ার & বডি ওয়াশ ২০০ মিলি</li>\n</ul>\n,"সাবান,বার,বেবি,codomo,babi,sop,saban,shaban"
STO-ITEM-2020-00450,<ul>\n<li>কোডোমো হেড টু তৈ ওয়াশ ১০০ মিলি</li>\n</ul>\n,"বেবি,সেম্পু,শ্যাম্পু,codomo,baby,shampoo,babi"
STO-ITEM-2020-00451,<ul>\n<li>কোডোমো বেবি বাথ (জেন্টাল সফ্ট) ২০০ মিলি</li>\n</ul>\n,"বেবি,সেম্পু,শ্যাম্পু,codomo,baby,shampoo,babi"
STO-ITEM-2020-00452,<ul>\n<li>কোডোমো বেবি শ্যাম্পু ওরিজিনাল সেন্ট ১০০ মিলি</li>\n</ul>\n,"অরিজিনাল,বেবী,সেম্পু,codomo,babi,shampu"
STO-ITEM-2020-00453,<ul>\n<li>কোডোমো বেবি শ্যাম্পু ওরিজিনাল সেন্ট ২০০ মিলি</li>\n</ul>\n,"অরিজিনাল,বেবী,সেম্পু,codomo,babi,shampu
"
STO-ITEM-2020-00454,<ul>\n<li>কোডোমো বেবি লোশন ২০০ মিলি</li>\n</ul>\n,"বেবী,লোসন,codomo,babi,shampo"
STO-ITEM-2020-00455,<ul>\n<li>কোডোমো বেবি লোশন পাউডার (নিউ বোর্ন সেনসিটিভ) ১৮০ মিলি</li>\n</ul>\n,"বেবী,পাওডার,codomo,babi"
STO-ITEM-2020-00456,<ul>\n<li>কোডোমো বেবি লোশন পাউডার ১০০ মিলি</li>\n</ul>\n,"বেবী,পাওডার,codomo,babi"
STO-ITEM-2020-00457,<ul>\n<li>কোডোমো বেবি পাউডার এক্সট্রা মাইল্ড ২০০ গ্রাম</li>\n</ul>\n,"বেবী,পাওডার,codomo,babi"
STO-ITEM-2020-00458,<ul>\n<li>কোডোমো বেবি পাউডার জেন্টল সফ্ট ২০০ গ্রাম</li>\n</ul>\n,"বেবী,পাওডার,codomo,babi"
