id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
STO-ITEM-2020-01160_13678,"Baqara Cake Sondesh 500gm","বাঁকারা কেক সন্দেশ ৫০০ গ্রাম।",https://dorgora.com/wp-content/uploads/2021/10/Cake-Sondesh-1.jpg,https://dorgora.com/shop/baqara-cake-sondesh-500gm/,"Baqara Sweets, Baqara Sweets","Baqara",275BDT,in stock,STO-ITEM-2020-01160_13678,,"https://dorgora.com/wp-content/uploads/2021/10/Cake-Sondesh.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,275BDT,new,published,,,,,,,
STO-ITEM-2020-01159_13675,"Baqara Cake Sondesh 1kg","বাঁকারা কেক সন্দেশ ১ কেজি।",https://dorgora.com/wp-content/uploads/2021/10/Cake-Sondesh-1.jpg,https://dorgora.com/shop/baqara-cake-sondesh-1kg/,"Baqara Sweets, Baqara Sweets","Baqara",550BDT,in stock,STO-ITEM-2020-01159_13675,,"https://dorgora.com/wp-content/uploads/2021/10/Cake-Sondesh.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,550BDT,new,published,,,,,,,
STO-ITEM-2020-01158_13673,"Baqara Chocolate Sondesh 1kg","বাঁকারা চকোলেট সন্দেশ ১ কেজি।",https://dorgora.com/wp-content/uploads/2021/10/Chocolate-Sondesh-1.jpg,https://dorgora.com/shop/baqara-chocolate-sondesh-1kg/,"Baqara Sweets, Baqara Sweets","Baqara",550BDT,in stock,STO-ITEM-2020-01158_13673,,"https://dorgora.com/wp-content/uploads/2021/10/Chocolate-Sondesh.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,550BDT,new,published,,,,,,,
STO-ITEM-2020-01157_13670,"Baqara Chocolate Sondesh 500gm","বাঁকারা চকোলেট সন্দেশ ৫০০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/10/Chocolate-Sondesh-1.jpg,https://dorgora.com/shop/baqara-chocolate-sondesh-500gm/,"Baqara Sweets, Baqara Sweets","Baqara",275BDT,in stock,STO-ITEM-2020-01157_13670,,"https://dorgora.com/wp-content/uploads/2021/10/Chocolate-Sondesh.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,275BDT,new,published,,,,,,,
STO-ITEM-2020-01156_13666,"Baqara Rosh Monjuri 500gm","বাঁকারা রস মঞ্জুরি মিষ্টি ৫০০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/10/Rosh-Munjuri.jpg,https://dorgora.com/shop/baqara-rosh-monjuri-500gm/,"Baqara Sweets, Baqara Sweets","Dorgora",300BDT,in stock,STO-ITEM-2020-01156_13666,,"https://dorgora.com/wp-content/uploads/2021/10/Rosh-Munjuri_01.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,300BDT,new,published,,,,,,,
STO-ITEM-2020-01155_13662,"Baqara Rosh Monjuri 1kg","বাঁকারা রস মঞ্জুরি মিষ্টি ১ কেজি",https://dorgora.com/wp-content/uploads/2021/10/Rosh-Munjuri.jpg,https://dorgora.com/shop/baqara-rosh-monjuri-1kg/,"Baqara Sweets, Baqara Sweets","Dorgora",600BDT,in stock,STO-ITEM-2020-01155_13662,,"https://dorgora.com/wp-content/uploads/2021/10/Rosh-Munjuri_01.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,600BDT,new,published,,,,,,,
STO-ITEM-2020-01154_13635,"Baqara Mini Chom Chom 500gm","বাঁকারা মিনি চম চম ৫০০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/10/Baqara-Mini-ChomChom.jpg,https://dorgora.com/shop/baqara-mini-chom-chom-500gm/,"Baqara Sweets, Baqara Sweets","Dorgora",350BDT,in stock,STO-ITEM-2020-01154_13635,,"https://dorgora.com/wp-content/uploads/2021/10/Baqara-Mini-Chom-Chom_01.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350BDT,new,published,,,,,,,
STO-ITEM-2020-01153_13631,"Baqara Mini Chom Chom 1kg","বাঁকারা মিনি চম চম ১ কেজি",https://dorgora.com/wp-content/uploads/2021/10/Baqara-Mini-ChomChom.jpg,https://dorgora.com/shop/baqara-mini-chom-chom-1kg/,"Baqara Sweets, Baqara Sweets","Dorgora",700BDT,in stock,STO-ITEM-2020-01153_13631,,"https://dorgora.com/wp-content/uploads/2021/10/Baqara-Mini-Chom-Chom_01.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,700BDT,new,published,,,,,,,
STO-ITEM-2020-01152_13574,"Sundarbaner Modhu 500gm","সুন্দরবনের ফুলের মধু ৫০০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/08/Shundarboner-Modhu-250gm.jpg,https://dorgora.com/shop/sundarbaner-modhu-500gm/,"Organic Foods","Dorgora",600BDT,in stock,STO-ITEM-2020-01152_13574,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,550BDT,new,published,,,,,,,
STO-ITEM-2020-01151_13501,"Prakritik Chaker Modhu 500gm","প্রাকৃতিক চাকের মধু ৫০০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/08/Prakritik-Chaker-Modhu-250gm.jpg,https://dorgora.com/shop/prakritik-chaker-modhu-500gm/,"Honey, Organic Foods","Dorgora",450BDT,in stock,STO-ITEM-2020-01151_13501,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,410BDT,new,published,,,,,,,
STO-ITEM-2020-01150_13499,"lichu Fuler Modhu 250gm","লিচু ফুলের মধু ২৫০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/08/Prakritik-Chaker-Modhu-250gm.jpg,https://dorgora.com/shop/lichu-fuler-modhu-250gm/,"Honey, Organic Foods","Dorgora",180BDT,in stock,STO-ITEM-2020-01150_13499,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,149BDT,new,published,,,,,,,
STO-ITEM-2020-01149_13424,"Baqara Katari Bhog 500gm","বাঁকারা কাটারিভোগ ৫০০ গ্রাম",https://dorgora.com/wp-content/uploads/2021/10/Katari-bhog.jpg,https://dorgora.com/shop/baqara-katari-bhog-500gm/,"Baqara Sweets, Baqara Sweets","Baqara",275BDT,in stock,STO-ITEM-2020-01149_13424,,"https://dorgora.com/wp-content/uploads/2021/10/Kateribhog.jpg,https://dorgora.com/wp-content/uploads/2021/10/Katari-bhog_01.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,275BDT,new,published,,,,,,,
